id,title,status,is_active,country,website,sphere_dataset_link,links_to_data,has_numerical_data,has_presence_values,population,sampled_locations,sampling_started,total_samples,total_dates_sampled,last_update,notes,targets,data_format,sampling_technique,category
dabb7f00-04d4-49fa-bea2-b47316bd6058,Australia - Western Dashboard,,True,AU,"{'uri': 'https://ww2.health.wa.gov.au/Articles/A_E/Coronavirus/COVID19-wastewater-testing', 'title': '', 'options': []}",,[],,,,,,0,0,,,,,,Data Dashboard
c6b0e3a2-657c-4f00-87bc-072c186ec9cb,Canada - Canadian Water Network Dashboard,,True,CA,"{'uri': 'https://cwn-rce.ca/covid-19-wastewater-coalition/covid-19-wastewater-coalition-maps/', 'title': '', 'options': []}",,[],,,,,,0,0,,,,,,Data Dashboard
aeff48b4-92a4-4d48-a0e3-bfcdc0f98519,Ghana - Working Group,,True,GH,,,[],,,,,,,,,,,,,Data Dashboard
95819e43-3c1c-49d0-9e40-4347e34e9b38,India - Working Group,,True,IN,,,[],,,,,,,,,,,,,Data Dashboard
78423e7a-6f37-4121-b823-bcd33b9e749e,USA - Massachusetts Dashboard,,True,US,"{'uri': 'http://www.mwra.com/biobot/biobotdata.htm', 'title': '', 'options': []}",,[],False,False,,,,,,,,,PDF,,Data Dashboard
4b638249-7866-478d-8b93-d8c894da962a,Bangladesh - Dhaka Dashboard,,True,BD,"{'uri': 'https://erin-wettstone.shinyapps.io/Dashboard_V6/', 'title': '', 'options': []}",,[],False,False,,,,0,0,,,,,,Data Dashboard
3d00330f-aeb4-4778-aa32-1ae88f96deb7,Austria- Vorarlberg - Hohenems,,True,AT,"{'uri': 'https://www.coron-a.at/dashboard/', 'title': '', 'options': []}",,[],False,False,,,,0,0,,,,,,Data Dashboard
582bfd75-1b47-41b6-b8f3-54f0c3bbe6c3,USA - Arizona - Tempe,,True,US,"{'uri': 'https://covid19.tempe.gov/', 'title': '', 'options': []}",,[],False,False,,,,339,48,,,,CSV,,Data Dashboard
7f0cb569-03b7-4b1b-8963-6d9c8eaac384,South Africa - SAMRC Dashboard,,True,ZA,"{'uri': 'https://www.samrc.ac.za/wbe/about.html', 'title': '', 'options': []}",,[],True,True,,,2021-03-22,120,5,,,N1; N2,,,Data Dashboard
e03562d6-e034-49e0-9f04-a97cc6446d86,Bangladesh - Working Group,,True,BD,,,[],False,False,,,,,,,,,,,Data Dashboard
14b7fcb3-aebc-4008-bb8b-2224fcb63401,Canada - Ontario - Kingston,,True,CA,"{'uri': 'https://www.kflaph.ca/en/healthy-living/covid-19-in-city-of-kingston-wastewater.aspx', 'title': '', 'options': []}",,[],False,False,,,,0,0,,,,,,Data Dashboard
a2142b99-f288-45ee-8c43-637842fa2c02,Sweden - Uppsala Dashboard,,True,SE,"{'uri': 'https://crush-covid.shinyapps.io/crush_covid/', 'title': '', 'options': []}",,[],False,False,,,,0,0,,,,,,Data Dashboard
